Pile_Number,Material_Lots,Total_Lbs,Total_Tons,30
092,10011446,3993450,1996.72,
098,10011446,3118150,1559.08,
099,10011446,2514000,1257,
147,10011660,4124150,2062.07,
148,10011660,2229180,1114.59,
154,10011533,470100,235.05,
160,10011418,1217350,608.67,
161,10011418,207700,103.85,
165,10011418,512650,256.32,
166,10011418,990100,495.05,
171,10011004,524600,262.3,
17D,10011004,65700,32.85,
20H,10011425,979250,489.62,
234,10011653,45350,22.68,
248,10011521,1154950,577.48,
261,10011663,30900,15.45,
262,10011663,45200,22.6,
282,10011414,2607550,1303.78,
283,10011414,2056400,1028.2,
284,10011414,5977800,2988.9,
285,10011414,4391350,2195.68,
291,10012420,121980,60.99,
313,10011647,364050,182.03,
321,10011528,228200,114.1,
362,10011667,426200,213.1,
373,10011668,118750,59.38,
384,10011669,531200,265.6,
401,10011503,1534750,767.38,
407,10011503,2433430,1216.71,
410,10011512,731800,365.9,
41B,10011512,482850,241.43,
41X,10011512,1494840,747.42,
433,10011513,671530,335.76,
437,10011513,521270,260.63,
442,10012170,7480110,3740.05,
443,10012170,810960,405.48,
445,10012170,4181790,2090.89,
494,10011540,92300,46.15,
508,10011509,904400,452.2,
509,10011509,75800,37.9,
519,10011529,113650,56.83,
525,10012284,473050,236.53,
581,10011559,149900,74.95,
58J,10011559,15250,7.62,
590,10011557,130500,65.25,
59J,10011557,4000,2,
600,10011558,2221600,1110.8,
615,10011654,121900,60.95,
646,10011516,279850,139.93,
736,10011536,221440,110.72,
817,10011560,12300,6.15,
82D,10011561,11550,5.78,
835,10011562,18450,9.22,
864,10031008,1162380,581.19,
904,10011652,69200,34.6,
905,10011652,89800,44.9,
917,10011543,78550,39.27,
923,10012360,104950,52.48,
947,10011509; 10011657,1008500,504.25,
952,10011531,221450,110.72,
984,10031006,3117320,1558.66,
