DATE,COMMODITY,NET,NET TONS,FROM PILE #,TO PILE #
2026-01-14,409 Home,28950.0,14.475,32L,321
2026-01-14,436 Home,16400.0,8.2,95U,952
2026-01-16,409 Ni Home,28900.0,14.45,62U,620
2026-01-16,439 Home,33100.0,16.55,38U,384
2026-01-26,Broken Rolls,39800.0,19.9,17Y,17R
2026-01-26,436 Home,29300.0,14.65,95U,953
2026-01-06,436 Home,24550.0,12.275,95U,952
2026-01-06,Broken Rolls,41200.0,20.6,17Y,17R
2026-01-06,439 Home,68600.0,34.3,38U,384
2026-01-06,439 Home,57500.0,28.75,38U,384
2026-01-07,Broken Rolls,35350.0,17.675,17Y,17R
