Date,Net(lbs),From,To,NetTons,# of Cuts,Billable Tons
2026-02-10,10300,60C,596,5.15,3,15.450000000000001
2026-02-10,14700,38C,384,7.35,4,29.4
2026-02-12,13050,94C,951,6.5250000000000004,5,32.625
2026-02-04,4500,40C,401,2.25,2,4.5
2026-02-04,27550,50C,505,13.775,2,27.55
2026-02-05,9350,60C,606,4.6749999999999998,3,14.024999999999999
2026-02-05,19100,24C,247,9.5500000000000007,4,38.200000000000003
2026-02-07,31500,40C,401,15.75,5,78.75
2026-02-09,28800,50C,505,14.4,3,43.2
,,,,,,
,,,,=SUM(E2:E10),,=SUM(G2:G10)
