OPERS Inventory Report created at 14-SEP-2026 00:00:35
Excluding zone: MSH
 
,"Code","Material","Pile","Month Begin","Transfers","Receipts","Buckets","Issues","Adjustments","Depletions","Operating Inventory","Last Zero Date"
,"10011004","MISC CLEAN UP SCRAP","171 ","1,129,010","0","0","-92,600","0","0","0","1,036,410","5/19/2026"
,"10011004","MISC CLEAN UP SCRAP","173 ","348,340","0","33,560","0","0","0","0","381,900","7/14/2026"
,"10011004","MISC CLEAN UP SCRAP","178 ","14,340","0","20,860","0","0","0","0","35,200","8/6/2026"
,"10011004","MISC CLEAN UP SCRAP","17D ","730,501","0","0","-72,300","0","0","0","658,201","2/19/2026"
,"10011004","MISC CLEAN UP SCRAP","17F ","-4,719","0","0","0","0","-6,240","0","-10,959","12/22/2025"
,"10011004","MISC CLEAN UP SCRAP","17G ","4,751","0","0","0","0","0","0","4,751","12/12/2025"
,"10011004","MISC CLEAN UP SCRAP","17J ","15,050","0","0","0","0","0","0","15,050","3/11/2026"
,"10011004","MISC CLEAN UP SCRAP","17T ","104,670","0","0","0","0","0","0","104,670","6/26/2026"
,"10011004","MISC CLEAN UP SCRAP","17Y ","22,340","0","0","0","0","0","0","22,340","8/28/2026"
,"10011414","FRAGMENTED SCRAP","280 ","1,930,720","-370,000","0","0","0","0","0","1,560,720","6/9/2026"
,"10011414","FRAGMENTED SCRAP","281 ","22,810","221,700","2,296,980","-1,549,900","0","0","0","991,590","8/24/2026"
,"10011414","FRAGMENTED SCRAP","285 ","345,150","0","2,749,720","-2,163,650","0","0","0","931,220","8/18/2026"
,"10011414","FRAGMENTED SCRAP","286 ","212,000","148,300","1,483,500","-1,222,200","0","0","0","621,600","6/30/2026"
,"10011414","FRAGMENTED SCRAP","289 ","1,209,500","0","0","0","0","0","0","1,209,500","7/28/2026"
,"10011418","# 1 BUSHELINGS","161 ","144,650","90,750","0","-260,400","0","0","0","-25,000","8/27/2026"
,"10011418","# 1 BUSHELINGS","167 ","499,810","-90,750","0","0","0","0","0","409,060","7/9/2026"
,"10011425","MIDDLETOWN SCRAP","20A ","549,390","0","444,620","0","0","0","0","994,010","8/18/2026"
,"10011425","MIDDLETOWN SCRAP","20H ","481,880","0","0","-350,550","0","0","0","131,330","12/11/2025"
,"10011425","MIDDLETOWN SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011446","HBI\Hot Briq Iron","090 ","2,658,620","0","713,600","0","0","0","0","3,372,220","8/25/2026"
,"10011446","HBI\Hot Briq Iron","091 ","8,985,430","0","0","0","0","0","0","8,985,430","2/25/2026"
,"10011446","HBI\Hot Briq Iron","092 ","2,727,430","0","353,580","0","0","0","0","3,081,010","8/3/2026"
,"10011446","HBI\Hot Briq Iron","094 ","10,251,880","0","248,960","0","0","0","0","10,500,840","4/21/2026"
,"10011446","HBI\Hot Briq Iron","095 ","764,350","0","1,381,500","-2,066,850","0","0","0","79,000","8/3/2026"
,"10011446","HBI\Hot Briq Iron","096 ","1,162,440","0","764,320","-1,360,200","0","0","0","566,560","8/6/2026"
,"10011446","HBI\Hot Briq Iron","097 ","3,081,180","0","0","0","0","0","0","3,081,180","8/7/2026"
,"10011446","HBI\Hot Briq Iron","098 ","446,600","0","488,980","-1,082,700","0","0","0","-147,120","8/10/2026"
,"10011503","409 SCRAP","401 ","2,206,135","-2,214,100","0","0","0","0","0","-7,965","8/29/2025"
,"10011503","409 SCRAP","402 ","804,380","0","949,290","-687,300","0","0","0","1,066,370","8/10/2026"
,"10011503","409 SCRAP","403 ","1,178,850","1,437,050","0","0","0","0","0","2,615,900","8/17/2026"
,"10011503","409 SCRAP","405 ","0","777,050","145,620","0","0","0","0","922,670","9/3/2026"
,"10011503","409 SCRAP","407 ","-93,000","0","0","0","0","0","0","-93,000","4/9/2026"
,"10011503","409 SCRAP","40F ","0","0","200,300","0","0","0","0","200,300","9/1/2026"
,"10011503","409 SCRAP","40P ","0","0","124,350","0","0","0","0","124,350","8/6/2018"
,"10011503","409 SCRAP","40S ","0","0","137,500","0","0","0","0","137,500","9/9/2026"
,"10011503","409 SCRAP","40Y ","0","0","179,400","0","0","0","0","179,400","9/8/2026"
,"10011503","409 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011509","430 SCRAP","500 ","1,595,690","0","0","0","0","0","0","1,595,690","6/5/2026"
,"10011509","430 SCRAP","501 ","1,652,080","0","0","0","0","0","0","1,652,080","7/20/2026"
,"10011509","430 SCRAP","503 ","68,880","0","881,670","-930,150","0","0","0","20,400","8/25/2026"
,"10011509","430 SCRAP","509 ","1,358,560","0","438,000","-1,105,350","0","0","0","691,210","5/20/2026"
,"10011509","430 SCRAP","50R ","0","0","601,350","0","0","0","0","601,350","9/1/2026"
,"10011509","430 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011512","409 RECLAIM","410 ","2,144,840","0","302,500","-91,300","0","0","0","2,356,040","3/24/2026"
,"10011512","409 RECLAIM","41B ","0","0","88,740","0","0","0","0","88,740","9/8/2026"
,"10011512","409 RECLAIM","41X ","1,344,180","0","625,620","-649,960","0","0","0","1,319,840","8/29/2023"
,"10011513","409 CONVERTOR SCRAP","431 ","1,910,050","-100,600","626,260","-31,950","0","0","0","2,403,760","6/8/2026"
,"10011513","409 CONVERTOR SCRAP","432 ","0","0","271,540","0","0","0","0","271,540","9/3/2026"
,"10011513","409 CONVERTOR SCRAP","434 ","0","107,750","0","-130,950","0","0","0","-23,200","9/10/2026"
,"10011513","409 CONVERTOR SCRAP","438 ","27,120","-7,150","0","-204,950","0","0","0","-184,980","7/30/2026"
,"10011516","409NI SCRAP","646 ","405,581","0","88,320","-178,850","0","0","0","315,051","3/9/2026"
,"10011521","435 SCRAP","245 ","1,109,631","-78,900","0","0","0","0","0","1,030,731","3/23/2026"
,"10011521","435 SCRAP","249 ","251,850","78,900","356,180","-754,400","0","0","0","-67,470","7/23/2026"
,"10011526","409NI RECLAIM","650 ","267,330","0","146,020","-135,700","0","0","0","277,650","6/16/2026"
,"10011528","409 HOME SCRAP","321 ","1,117,890","160,700","51,680","-46,350","0","0","0","1,283,920","9/25/2025"
,"10011528","409 HOME SCRAP","32A ","16,830","0","0","0","0","0","0","16,830","3/25/2026"
,"10011528","409 HOME SCRAP","32C ","-54,600","-40,050","0","0","0","0","0","-94,650","5/31/2026"
,"10011528","409 HOME SCRAP","32L ","56,060","-120,650","0","0","0","0","0","-64,590","9/3/2025"
,"10011529","430 & 440 HOME","519 ","688,480","0","0","-58,200","0","0","0","630,280","3/19/2026"
,"10011529","430 & 440 HOME","51C ","-109,210","0","0","0","0","0","0","-109,210","5/29/2026"
,"10011529","430 & 440 HOME","51U ","9,340","0","0","0","0","0","0","9,340","8/19/2026"
,"10011531","436 HOME SCRAP","951 ","17,951","0","0","0","0","0","0","17,951","3/23/2026"
,"10011531","436 HOME SCRAP","952 ","508,059","30,550","11,460","-37,400","0","0","0","512,669","2/25/2026"
,"10011531","436 HOME SCRAP","956 ","52,071","0","0","0","0","0","0","52,071","2/6/2026"
,"10011531","436 HOME SCRAP","95C ","386,520","-30,550","0","0","0","0","0","355,970","9/15/2022"
,"10011531","436 HOME SCRAP","95J ","16,001","0","0","0","0","0","0","16,001","2/6/2026"
,"10011531","436 HOME SCRAP","95U ","0","0","40,100","0","0","0","0","40,100","9/3/2026"
,"10011532","409NI HOME SCRAP","622 ","9,060","0","0","0","0","0","0","9,060","8/10/2026"
,"10011532","409NI HOME SCRAP","62Q ","18,400","0","0","0","0","0","0","18,400","6/27/2018"
,"10011533","181/409 BLEND SCRAP","150 ","1,520,900","0","0","0","0","0","0","1,520,900","5/18/2026"
,"10011533","181/409 BLEND SCRAP","154 ","271,030","25,000","0","-468,750","0","0","0","-172,720","5/13/2026"
,"10011533","181/409 BLEND SCRAP","158 ","1,280,650","-25,000","0","0","0","0","0","1,255,650","5/7/2026"
,"10011533","181/409 BLEND SCRAP","159 ","5,470","0","34,840","0","0","0","0","40,310","5/13/2026"
,"10011533","181/409 BLEND SCRAP","15Y ","0","0","204,950","0","0","0","0","204,950","9/1/2026"
,"10011533","181/409 BLEND SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011536","300 STAINLESS SCRAP","730 ","978,440","0","0","-249,050","0","0","0","729,390","7/14/2026"
,"10011540","430 TUNDISH SKULL","494 ","547,010","0","0","0","0","0","0","547,010","4/16/2026"
,"10011542","444 RECLAIM","762 ","558,400","0","0","0","0","0","0","558,400","5/7/2026"
,"10011543","436 TUNDISH","917 ","123,260","0","0","0","0","0","0","123,260","4/22/2026"
,"10011545","435 TUNDISH","256 ","112,230","0","0","0","0","0","0","112,230","7/15/2026"
,"10011546","444 TUNDISH","771 ","25,800","0","0","0","0","0","0","25,800","5/7/2026"
,"10011557","181 HOME SCRAP","591 ","46,080","10,300","0","-41,300","0","0","0","15,080","7/14/2026"
,"10011557","181 HOME SCRAP","59A ","99,180","0","0","0","0","0","0","99,180","8/24/2026"
,"10011557","181 HOME SCRAP","59C ","0","-10,300","0","0","0","9,150","1,150","0","9/11/2026"
,"10011557","181 HOME SCRAP","59J ","136,731","0","0","0","0","0","0","136,731","2/12/2026"
,"10011557","181 HOME SCRAP","59R ","107,951","0","0","0","0","0","0","107,951","12/10/2025"
,"10011557","181 HOME SCRAP","59U ","3,180","0","0","0","0","0","0","3,180","7/29/2026"
,"10011557","181 HOME SCRAP","59Z ","6,500","0","0","0","0","0","0","6,500","7/21/2026"
,"10011558","181 SCRAP","602 ","962,030","0","500,380","-1,035,350","0","0","0","427,060","7/31/2026"
,"10011558","181 SCRAP","607 ","1,768,700","0","0","0","0","-9,150","0","1,759,550","5/5/2026"
,"10011558","181 SCRAP","608 ","155,900","0","0","0","0","0","0","155,900","5/21/2026"
,"10011558","181 SCRAP","ASN ","0","0","0","0","0","0","0","0",""
,"10011559","181 TUNDISH","581 ","215,700","0","0","0","0","0","0","215,700","3/20/2026"
,"10011559","181 TUNDISH","58J ","316,520","0","0","0","0","0","0","316,520","4/17/2026"
,"10011559","181 TUNDISH","58R ","54,601","0","0","0","0","0","0","54,601","12/10/2025"
,"10011559","181 TUNDISH","58Z ","123,900","0","0","0","0","0","0","123,900","7/15/2026"
,"10011560","151 HOME","817 ","191,601","0","19,100","-5,100","0","0","0","205,601","3/9/2026"
,"10011562","151 TUNDISH","835 ","538,680","0","0","-25,850","0","0","0","512,830","4/17/2026"
,"10011647","409 TUNDISH","313 ","231,630","0","0","0","0","0","0","231,630","4/28/2026"
,"10011650","409NI TUNDISH","676 ","53,000","0","0","0","0","0","0","53,000","7/22/2026"
,"10011652","436 RECLAIM","906 ","298,170","0","0","-223,400","0","0","0","74,770","7/7/2026"
,"10011653","435 RECLAIM","236 ","135,440","0","148,100","-58,500","0","0","0","225,040","8/20/2026"
,"10011654","181 RECLAIM","615 ","876,320","0","0","-94,100","0","0","0","782,220","3/11/2026"
,"10011657","436 SCRAP","946 ","1,107,480","0","0","0","0","0","0","1,107,480","4/13/2026"
,"10011657","436 SCRAP","947 ","1,249,930","0","477,480","-682,500","0","0","0","1,044,910","5/8/2026"
,"10011657","436 SCRAP","94Y ","0","0","66,420","0","0","0","0","66,420","12/31/2019"
,"10011660","430/439/409 BLEND SC","147 ","63,165","0","0","0","0","0","0","63,165","8/28/2025"
,"10011660","430/439/409 BLEND SC","148 ","2,867,390","-166,500","62,500","-148,650","0","0","0","2,614,740","4/17/2026"
,"10011660","430/439/409 BLEND SC","149 ","439,160","166,800","1,780,480","-1,984,450","0","0","0","401,990","7/30/2026"
,"10011660","430/439/409 BLEND SC","14C ","0","-300","0","0","0","0","300","0","9/11/2026"
,"10011660","430/439/409 BLEND SC","ASN ","0","0","0","0","0","0","0","0",""
,"10011663","435 HOME SCRAP","260 ","60,450","0","0","0","0","0","0","60,450","6/16/2026"
,"10011663","435 HOME SCRAP","262 ","174,010","0","0","-31,500","0","0","0","142,510","4/17/2026"
,"10011663","435 HOME SCRAP","26C ","58,800","0","0","0","0","0","0","58,800","6/12/2026"
,"10011667","439 RECLAIM","362 ","1,033,490","0","162,720","-340,350","0","0","0","855,860","2/24/2026"
,"10011669","439 HOME SCRAP","384 ","292,331","0","37,220","-197,950","0","0","0","131,601","12/10/2025"
,"10011669","439 HOME SCRAP","38C ","202,079","0","0","0","0","0","0","202,079","8/17/2021"
,"10011669","439 HOME SCRAP","38U ","48,670","0","89,260","0","0","0","0","137,930","11/11/2025"
,"10012170","55% CHRG CR LUMP EAF","444 ","2,163,020","0","2,485,400","-2,344,110","0","0","0","2,304,310","8/14/2026"
,"10012170","55% CHRG CR LUMP EAF","446 ","1,591,020","0","371,340","-1,943,060","0","0","-19,300","0","9/11/2026"
,"10012170","55% CHRG CR LUMP EAF","448 ","0","0","2,961,800","-876,520","0","0","0","2,085,280","9/2/2026"
,"10012284","EAF 75% FESI LUMP","525 ","480,510","0","178,480","-172,830","0","0","0","486,160","1/16/2024"
,"10012360","MOLYBDENUM OXIDE","923 ","34,231","0","42,860","-63,300","0","0","0","13,791","12/22/2025"
,"10012420","CHARGE COKE","291 ","186,766","0","0","0","0","0","0","186,766","12/8/2017"
,"10012420","CHARGE COKE","29B ","74,250","0","0","0","0","0","0","74,250","6/27/2017"
,"10012998","MIXED ALLOYS","931 ","232,595","0","0","0","0","0","0","232,595","5/25/2016"
,"10031006","HI CALCIUM LIME EAF","984 ","121,220","0","1,421,320","-1,298,800","0","2,550","0","246,290","11/14/2015"
,"10031008","DOLOMITIC LIME","864 ","106,635","0","47,800","-462,770","0","0","0","-308,335","11/14/2015"
