"ENVIRI CORP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MANSFIELD, OH - M36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"Available For Placement - 09/22/2026 08:43 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"Equipment ID","Bad Order Details Description","Bad Order Date & Time","Estimated Mechanical Release","Current Location","Track/Train","Position","L/E","Tons","Class","Hdlg Cd","Lcl","Commodity","Current ETA","Original NS ETA","ETA Variance","Car Type","Status","Request","Shipper","Consignee","Credits","Service Credits","Adjusted Credits","Car Days","Total","Care Of","STCC","Origin","Waybill Number","Waybill Serial Number","Waybill Date & Time","Net Weight (lbs)","Gross Weight (lbs)","Tare Weight (lbs)","Marketing Code","Pool ID","Pool Primary Operating Road SCAC"
"OMNX 002475","","","","CANTON, OH","CA5YD","5","L","125","M36","","","ISSCR","09/23/2026 07:30 PM","09/23/2026 07:30 PM","0","G519","AVPL","","OMNSOUWE","CLECLIST","0","0","0","0","0","ENVIRI CORP","4021125","FT WAYNE, IN","897020","1630315075","09/14/2026 02:37 PM","180,000","250,500","70,500","GC","",""
"ZVBX 001235","","","","CANTON, OH","CA519","5","L","142","M36","","","ISSCR","09/02/2026 07:30 PM","","","G519","PCON","","FERPROTR","ENVIRI","2","0","0","1","1","METALS & MINERALS DIVISION","4021125","LIVERNOIS, MI","246058","1621398278","08/25/2026 08:57 AM","212,950","284,650","71,700","GD","",""
"ZVBX 101579","","","","CANTON, OH","CA519","6","L","130","M36","","","ISSCR","09/21/2026 07:30 PM","09/18/2026 07:30 PM","+3 Days","J301","PCON","Order","FPTSHELB","ENVIRI","2","3","0","0","5","1344 BOWMAN ST","4021125","WARTRACE, TN","947967","1626478366","09/04/2026 05:30 PM","200,600","260,100","59,500","GI","",""
"OMNX 001432","","","","CANTON, OH","CA519","7","L","137","M36","","","ISSCR","09/21/2026 07:30 PM","09/18/2026 07:30 PM","+3 Days","G519","PCON","Order","OMNMXSAD","CLECLIST","2","3","0","2","3","CARE OF    HARSCO CORP","4021125","LEAL, NL","38594","1620805303","08/24/2026 05:40 AM","198,504","269,504","71,000","GC","",""
"OMNX 002373","","","","CANTON, OH","CA519","8","L","117","M36","","","ISSCR","09/21/2026 07:30 PM","09/18/2026 07:30 PM","+3 Days","G519","PCON","Order","OMNMXSAD","CLECLIST","2","3","0","2","3","CARE OF    HARSCO CORP","4021125","LEAL, NL","41604","1621303744","08/25/2026 02:22 AM","164,464","234,964","70,500","GC","",""
"AEX 019555","","","","CANTON, OH","CA519","9","L","126","M36","","","ISSCR","09/21/2026 07:30 PM","09/21/2026 07:30 PM","0","E534","PCON","","CLECLIST","CLECLIST","2","0","0","1","1","HARSCO","4021125","ROCKPORT, IN","153239","1628631172","09/10/2026 11:02 AM","184,800","252,000","67,200","GB","",""
"CLVX 804059","","","","CANTON, OH","CA519","10","L","132","M36","","","ISSCR","09/21/2026 07:30 PM","09/21/2026 07:30 PM","0","E534","PCON","","CLECLIST","CLECLIST","2","0","0","1","1","HARSCO","4021125","ROCKPORT, IN","153196","1628368208","09/09/2026 08:16 PM","198,900","264,900","66,000","GB","",""
"OMNX 002360","","","","CANTON, OH","CA519","11","L","124","M36","","","ISSCR","09/23/2026 07:30 PM","09/21/2026 07:30 PM","+2 Days","G519","PCON","","OMNMXSAD","CLECLIST","2","0","0","1","1","CARE OF    HARSCO CORP","4021125","LEAL, NL","46444","1622418615","08/27/2026 06:55 AM","177,031","247,431","70,400","GC","",""
"OMNX 002473","","","","CANTON, OH","CA519","12","L","119","M36","","","ISSCR","09/23/2026 07:30 PM","09/21/2026 07:30 PM","+2 Days","G519","PCON","","OMNMXSAD","CLECLIST","2","0","0","1","1","CARE OF    HARSCO CORP","4021125","LEAL, NL","46409","1622398483","08/27/2026 05:46 AM","166,934","237,434","70,500","GC","",""
"OMNX 102096","","","","CANTON, OH","CA519","13","L","139","M36","","","ISSCR","09/23/2026 07:30 PM","09/21/2026 07:30 PM","+2 Days","G519","PCON","","OMNMXSAD","CLECLIST","2","0","0","1","1","CARE OF    HARSCO CORP","4021125","LEAL, NL","46408","1622394146","08/27/2026 05:39 AM","200,797","277,597","76,800","GD","",""
"GNWR 004090","","","","CANTON, OH","CA519","14","L","131","M36","","","ISSCR","09/23/2026 07:30 PM","09/21/2026 07:30 PM","+2 Days","E534","NOPA","","KROOT","CLECLIST","0","0","0","0","0","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","19805","1628549773","09/10/2026 08:51 AM","200,700","262,700","62,000","GB","4349061","LIRC"
"GNWR 004117","","","","CANTON, OH","CA519","15","L","131","M36","","","ISSCR","09/23/2026 07:30 PM","09/21/2026 07:30 PM","+2 Days","E534","NOPA","","KROOT","CLECLIST","0","0","0","0","0","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","19803","1628548581","09/10/2026 08:48 AM","196,840","261,840","65,000","GB","4349061","LIRC"
"GNWR 004087","","","","CANTON, OH","CA519","16","L","123","M36","","","ISSCR","09/23/2026 07:30 PM","09/21/2026 07:30 PM","+2 Days","E534","NOPA","","KROOT","CLECLIST","0","0","0","0","0","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","19804","1628549406","09/10/2026 08:50 AM","180,920","245,320","64,400","GB","4349061","LIRC"
