"ENVIRI CORP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MANSFIELD, OH - M36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"Pipeline - 09/22/2026 08:43 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"Equipment ID","Bad Order Details Description","Bad Order Date & Time","Estimated Mechanical Release","Current Location","Event Code","Track/Train","Position","L/E","Tons","Class","Hdlg Cd","Lcl","Commodity","Current ETA","Original NS ETA","ETA Variance","Car Type","Request","Shipper","Consignee","Care Of","STCC","Origin","Destination","Last Event Date & Time","Time Since Last Event","Waybill Number","Waybill Serial Number","Waybill Date & Time","Net Weight (lbs)","Gross Weight (lbs)","Tare Weight (lbs)","Marketing Code","Pool ID","Pool Primary Operating Road SCAC"
"AEX 026559","","","","MIDCR,OH","RLOD","CSXT","","L","132","M36","","","ISSCR","","","","E534","","COHBROTH","CLECLIST","HARSCO CORP","4021125","MIDDLETOWN, OH","MANSFIELD, OH","09/22/2026 07:58 AM","45min","842459","1633639274","09/22/2026 07:56 AM","202,780","264,480","61,700","GB","",""
"ZVBX 019057","","","","COLUMBUS,OH","TOLD","CSXT","","L","140","M36","","","ISSCR","09/25/2026 07:30 PM","","","G519","","FERPROTR","ENVIRI","1344 BOWMAN ST","4021125","TULLAHOMA, TN","MANSFIELD, OH","09/20/2026 01:30 PM","1days, 19hrs, 13min","850545","1630297633","09/14/2026 02:07 PM","208,860","280,160","71,300","GD","",""
"ZVBX 019049","","","","MURFREES,TN","DFLC","CSXT","","L","102","M36","","","ISSCR","10/02/2026 07:30 PM","","","G519","","FERPROTR","ENVIRI","1344 BOWMAN ST","4021125","TULLAHOMA, TN","MANSFIELD, OH","09/22/2026 05:10 AM","3hrs, 33min","0","1632374813","09/18/2026 02:56 PM","204,520","276,320","71,800","GD","",""
"OMNX 102006","","","","DOYLINE,LA","ARIL","CPRS","","L","80","M36","","","ISSCR","10/02/2026 07:30 PM","","","G519","","OMNMXSAD","CLECLIST","CARE OF    HARSCO CORP","4021125","LEAL, NL","MANSFIELD, OH","09/22/2026 05:17 AM","3hrs, 26min","0","1628497756","09/10/2026 06:46 AM","160,937","237,837","76,900","GD","",""
"AEX 019544","","","","MIDCR,OH","RLOD","CSXT","","L","128","M36","","","ISSCR","","","","E534","","COHBROTH","CLECLIST","HARSCO CORP","4021125","MIDDLETOWN, OH","MANSFIELD, OH","09/21/2026 08:03 AM","1days, 40min","841848","1633144342","09/21/2026 08:01 AM","189,580","256,780","67,200","GB","",""
"OMNX 002069","","","","MERIDIAN,MS","ARIL","CPRS","","L","86","M36","","","ISSCR","09/30/2026 07:30 PM","","","G519","","OMNMXSAD","CLECLIST","CARE OF    HARSCO CORP","4021125","LEAL, NL","MANSFIELD, OH","09/18/2026 05:09 PM","3days, 15hrs, 34min","0","1623436420","08/29/2026 05:41 AM","172,666","243,066","70,400","GC","",""
"OMNX 002491","","","","DOYLINE,LA","ARIL","CPRS","","L","82","M36","","","ISSCR","10/02/2026 07:30 PM","","","G519","","OMNMXSAD","CLECLIST","CARE OF    HARSCO CORP","4021125","LEAL, NL","MANSFIELD, OH","09/22/2026 05:17 AM","3hrs, 26min","0","1628478142","09/10/2026 05:40 AM","164,861","235,361","70,500","GC","",""
"OMNX 002566","","","","SANCHEZ,TM","ARIL","KCSM","","L","78","M36","","","ISSCR","10/05/2026 07:30 PM","","","G519","","OMNMXSAD","CLECLIST","CARE OF    HARSCO CORP","4021125","LEAL, NL","MANSFIELD, OH","09/18/2026 07:25 AM","4days, 1hrs, 18min","0","1629877446","09/13/2026 11:44 AM","155,249","225,649","70,400","GC","",""
"GNWR 004057","","","","JEFFERSO,IN","ARIL","LIRC","","L","100","M36","","","ISSCR","10/02/2026 07:30 PM","","","E534","","KROOT","CLECLIST","CARE OF    ENVIRI CORP","4021125","COLUMBUS, IN","MANSFIELD, OH","09/22/2026 01:29 AM","7hrs, 14min","0","1633167340","09/21/2026 08:45 AM","199,266","262,766","63,500","GB","4349061","LIRC"
"OMNX 002186","","","","DOYLINE,LA","ARIL","CPRS","","L","104","M36","","","ISSCR","10/02/2026 07:30 PM","","","G519","","OMNMXSAD","CLECLIST","CARE OF    HARSCO CORP","4021125","LEAL, NL","MANSFIELD, OH","09/22/2026 05:17 AM","3hrs, 26min","0","1629876995","09/13/2026 11:36 AM","207,763","278,163","70,400","GC","",""
"ZVBX 020040","","","","COLUMBUS,OH","TOLD","CSXT","","L","139","M36","","","ISSCR","09/25/2026 07:30 PM","","","G519","","FERPROTR","ENVIRI","1344 BOWMAN ST","4021125","TULLAHOMA, TN","MANSFIELD, OH","09/18/2026 04:30 PM","3days, 16hrs, 13min","972409","1627577024","09/08/2026 12:38 PM","200,920","277,720","76,800","GD","",""
"AEX 019683","BRAKE BEAM","09/21/2026 01:22 AM","09/24/2026 12:00 AM","BELLEVUE, OH","BADO","ME1   01","2","L","130","M36","B/O","","ISSCR","09/28/2026 07:30 PM","09/25/2026 07:30 PM","+3 Days","E534","","CLECLIST","CLECLIST","HARSCO","4021125","ROCKPORT, IN","MANSFIELD, OH","09/21/2026 01:22 AM","1days, 7hrs, 21min","153992","1630947440","09/15/2026 06:46 PM","192,600","260,600","68,000","GB","",""
