"RailCar ID","PO","PO Line Item","Shipper Name","Supplier","Name","Ship Gross","Ship Tare","Ship Net","Date","Time",
"TFM60484","1692211","1692211-001","","5432","OMNISOURCE CORPO","229810","68917","160893","8/1/2026","12:00:00 AM",
"OMNX1432","1692221","1692221-001","","5432","OMNISOURCE CORPO","279810","81306","198504","8/24/2026","12:00:00 AM",
"OMNX2373","1692202","1692202-001","","5432","OMNISOURCE CORPO","237349","72884","164465","8/25/2026","12:00:00 AM",
"ZVBX6129","1490615","1490615-029","","16343","TENNECO INC","193200","66800","126400","9/9/2026","12:00:00 AM",
"CLVX804059","1326015","1326015-002","","20072","CLEVELAND CLIFFS","271400","72500","198900","9/9/2026","12:00:00 AM",
"GNWR4090","1442707","1442707-010","","14790","AK TUBE LLC","260900","60200","200700","9/10/2026","12:00:00 AM",
"GNWR4117","1442707","1442707-010","","14790","AK TUBE LLC","259700","62860","196840","9/10/2026","12:00:00 AM",
"GNWR4087","1390362","1390362-011","","14675","FAURECIA EMISSIO","241200","60280","180920","9/10/2026","12:00:00 AM",
"AEX19555","1326018","1326018-018","","20072","CLEVELAND CLIFFS","252000","67200","184800","9/10/2026","12:00:00 AM",
"OMNX2360","1692202","1692202-001","","5432","OMNISOURCE CORPO","251194","74163","177031","8/27/2026","12:00:00 AM",
"OMNX102006","1692202","1692202-001","","5432","OMNISOURCE CORPO","239334","78397","160937","9/10/2026","12:00:00 AM",
"ZVBX101579","1490611","1490611-024","","16343","TENNECO INC","261300","60700","200600","9/4/2026","12:00:00 AM",
"ZVBX19057","1701738","1701738-001","","1139","FERROUS PROCESSI","283410","74540","208870","9/14/2026","12:00:00 AM",
"RMGX9089","1326015","1326015-002","","20072","CLEVELAND CLIFFS","253200","64400","188800","9/14/2026","12:00:00 AM",
"CLVX804434","1326018","1326018-018","","20072","CLEVELAND CLIFFS","277800","65900","211900","9/14/2026","12:00:00 AM",
"ZVBX6141","1437341","1437341-027","","1139","FERROUS PROCESSI","284000","68200","215800","9/15/2026","12:00:00 AM",
"AEX19683","1326018","1326018-018","","20072","CLEVELAND CLIFFS","262100","69500","192600","9/15/2026","12:00:00 AM",
"OMNX102096","1692221","1692221-001","","5432","OMNISOURCE CORPO","278532","77735","200797","8/27/2026","12:00:00 AM",
"OMNX2473","1692225","1692225-001","","5432","OMNISOURCE CORPO","237482","70548","166934","8/27/2026","12:00:00 AM",
"OMNX2475","1699707","1699707-001","","5432","OMNISOURCE CORPO","224400","68850","155550","9/14/2026","12:00:00 AM",
"AEX26519","1668372","1668372-001","","15097","COHEN BROTHERS I","260180","60200","199980","9/17/2026","12:00:00 AM",
"AEX26547","1668372","1668372-001","","15097","COHEN BROTHERS I","259280","58840","200440","9/17/2026","12:00:00 AM",
"ZVBX1235","1693094","1693094-001","","1139","FERROUS PROCESSI","284850","71900","212950","8/17/2026","12:00:00 AM",
"ZVBX20040","1701738","1701738-001","","1139","FERROUS PROCESSI","281170","80250","200920","9/8/2026","12:00:00 AM",
"GNWR4063","1390356","1390356-011","","15228","ARVIN SANGO INC","259300","60140","199160","9/12/2026","12:00:00 AM",
"GNWR4085","1442707","1442707-010","","14790","AK TUBE LLC","233000","60500","172500","9/12/2026","12:00:00 AM",
"CLVX807361","1668373","1668373-001","","15097","COHEN BROTHERS I","260400","69580","190820","9/18/2026","12:00:00 AM",
"CLVX807367","1668373","1668373-001","","15097","COHEN BROTHERS I","260660","80680","179980","9/18/2026","12:00:00 AM",
"OMNX2186","1699696","1699696-001","","5432","OMNISOURCE CORPO","279325","71562","207763","9/13/2026","12:00:00 AM",
"OMNX2566","1692202","1692202-001","","5432","OMNISOURCE CORPO","226194","70945","155249","9/13/2026","12:00:00 AM",
"ZVBX19049","1701738","1701738-001","","1139","FERROUS PROCESSI","280070","75550","204520","9/18/2026","12:00:00 AM",
"CLVX804441","1326015","1326015-002","","20072","CLEVELAND CLIFFS","273700","65900","207800","9/20/2026","12:00:00 AM",
"AEX26586","1326018","1326018-018","","20072","CLEVELAND CLIFFS","255200","68900","186300","9/20/2026","12:00:00 AM",
"GONX340027","1326018","1326018-018","","20072","CLEVELAND CLIFFS","258400","71000","187400","9/20/2026","12:00:00 AM",
"GNWR4057","1442707","1442707-010","","14790","AK TUBE LLC","259250","59980","199270","9/21/2026","12:00:00 AM",
"GNWR4066","1442711","1442711-010","","14790","AK TUBE LLC","259350","59360","199990","9/21/2026","12:00:00 AM",
"GNWR4052","1390356","1390356-011","","15228","ARVIN SANGO INC","260450","59120","201330","9/21/2026","12:00:00 AM",
"AEX19544","1668369","1668369-003","","15097","COHEN BROTHERS I","259360","69780","189580","9/21/2026","12:00:00 AM",
"CLVX804012","1325985","1325985-001","","20072","CLEVELAND CLIFFS","265200","66100","199100","9/21/2026","12:00:00 AM",
"AEX26511","1326015","1326015-002","","20072","CLEVELAND CLIFFS","260700","68900","191800","9/21/2026","12:00:00 AM",
"AEX26583","1326020","1326020-001","","20072","CLEVELAND CLIFFS","234900","62600","172300","9/21/2026","12:00:00 AM",
"AEX19546","1325985","1325985-001","","20072","CLEVELAND CLIFFS","247400","67800","179600","9/21/2026","12:00:00 AM",
"OMNX2069","1699696","1699696-001","","5432","OMNISOURCE CORPO","245066","72400","172666","8/29/2026","12:00:00 AM",
"OMNX2491","1699696","1699696-001","","5432","OMNISOURCE CORPO","237129","72268","164861","9/8/2026","12:00:00 AM",
"AEX26559","1668369","1668369-003","","15097","COHEN BROTHERS I","259620","56840","202780","9/22/2026","12:00:00 AM",
